;Date;Open;High;Low;Close;Adj Close;Volume;Symbol
453;3/29/2016;326.176;3.283;319.629;322.633;322.633;1764730.0;BTC-USD
454;3/30/2016;322.665;327.702;320.301;321.941;321.941;1450290.0;BTC-USD
455;3/31/2016;322.548;326.648;322.184;325.707;325.707;1704440.0;BTC-USD
456;4/1/2016;324.575;325.515;323.113;323.995;323.995;1316230.0;BTC-USD
457;4/2/2016;32.459;327.574;324.486;326.211;326.211;1174830.0;BTC-USD
458;4/3/2016;326.145;32.747;32.468;326.268;326.268;1281200.0;BTC-USD
459;4/4/2016;32.613;326.842;322.203;325.059;325.059;1188610.0;BTC-USD
460;4/5/2016;324.604;327.108;324.144;325.165;325.165;863788.0;BTC-USD
461;4/6/2016;325.852;32.636;324.275;325.593;325.593;1088910.0;BTC-USD
462;4/7/2016;325.701;326.089;322.778;324.532;324.532;1150280.0;BTC-USD
463;4/8/2016;324.191;325.398;32.144;322.027;322.027;1352320.0;BTC-USD
464;4/9/2016;322.402;322.615;319.817;32.162;32.162;1224580.0;BTC-USD
465;4/10/2016;322.186;325.236;321.168;322.699;322.699;1417490.0;BTC-USD
466;4/11/2016;322.745;324.379;321.385;324.177;324.177;1061060.0;BTC-USD
467;4/12/2016;324.014;327.679;323.145;325.732;325.732;1305310.0;BTC-USD
468;4/13/2016;326.295;327.058;323.603;323.886;323.886;1295720.0;BTC-USD
469;4/14/2016;324.574;325.582;323.376;323.961;323.961;1190770.0;BTC-USD
470;4/15/2016;324.321;328.476;324.153;327.883;327.883;1404400.0;BTC-USD
471;4/16/2016;327.985;329.406;326.827;327.382;327.382;1155850.0;BTC-USD
472;4/17/2016;328.005;328.375;325.147;325.777;325.777;1211900.0;BTC-USD
473;4/18/2016;326.037;327.102;323.918;324.039;324.039;1317730.0;BTC-USD
474;4/19/2016;32.489;329.295;32.425;328.517;328.517;1333410.0;BTC-USD
475;4/20/2016;329.175;329.473;326.662;327.838;327.838;1638920.0;BTC-USD
476;4/21/2016;328.093;335.176;327.347;33.464;33.464;1688230.0;BTC-USD
477;4/22/2016;334.679;334.809;330.686;331.927;331.927;1569850.0;BTC-USD
478;4/23/2016;332.078;333.972;330.526;333.447;333.447;1383790.0;BTC-USD
479;4/24/2016;334.636;364.535;334.636;363.183;363.183;4502460.0;BTC-USD
480;4/25/2016;362.286;387.424;355.076;381.172;381.172;6605750.0;BTC-USD
481;4/26/2016;379.559;411.448;378.638;40.458;40.458;6717450.0;BTC-USD
482;4/27/2016;404.861;422.993;386.893;388.971;388.971;9435190.0;BTC-USD
483;4/28/2016;387.886;387.944;368.631;37.885;37.885;3952590.0;BTC-USD
484;4/29/2016;379.207;384.685;37.235;38.136;38.136;2467080.0;BTC-USD
485;4/30/2016;381.348;381.505;364.385;365.975;365.975;2502180.0;BTC-USD
486;5/1/2016;36.575;372.045;364.311;37.052;37.052;1911590.0;BTC-USD
487;5/2/2016;370.871;378.136;363.868;368.031;368.031;2667410.0;BTC-USD
488;5/3/2016;368.211;375.876;366.239;374.091;374.091;2363200.0;BTC-USD
489;5/4/2016;374.184;377.976;373.112;374.679;374.679;1716110.0;BTC-USD
490;5/5/2016;374.181;376.402;370.688;371.385;371.385;1702120.0;BTC-USD
491;5/6/2016;371.613;382.211;3.706;382.211;382.211;1899060.0;BTC-USD
492;5/7/2016;381.952;400.344;381.952;395.345;395.345;3278610.0;BTC-USD
493;5/8/2016;393.641;394.411;38.862;393.814;393.814;1783970.0;BTC-USD
494;5/9/2016;393.763;408.338;389.863;405.643;405.643;3120940.0;BTC-USD
495;5/10/2016;405.797;411.563;379.838;381.915;381.915;3688200.0;BTC-USD
496;5/11/2016;382.033;391.377;381.444;388.227;388.227;2458140.0;BTC-USD
497;5/12/2016;388.134;389.672;379.635;38.568;38.568;1798920.0;BTC-USD
498;5/13/2016;385.527;396.167;382.879;392.568;392.568;2624100.0;BTC-USD
499;5/14/2016;392.728;404.518;392.024;401.012;401.012;2444920.0;BTC-USD
500;5/15/2016;401.409;410.201;396.654;406.312;406.312;2096570.0;BTC-USD
501;5/16/2016;406.308;416.277;397.969;400.653;400.653;3632510.0;BTC-USD
502;5/17/2016;400.364;403.497;39.744;398.313;398.313;2663640.0;BTC-USD
503;5/18/2016;39.798;404.284;39.751;400.322;400.322;2377740.0;BTC-USD
504;5/19/2016;400.244;403.438;383.339;383.339;383.339;3380010.0;BTC-USD
505;5/20/2016;382.493;391.887;381.789;388.101;388.101;3638250.0;BTC-USD
506;5/21/2016;388.352;397.342;387.858;395.449;395.449;1938010.0;BTC-USD
507;5/22/2016;395.659;398.667;390.465;39.297;39.297;1849720.0;BTC-USD
508;5/23/2016;392.293;397.308;389.946;396.819;396.819;1868020.0;BTC-USD
509;5/24/2016;396.388;39.846;393.887;395.141;395.141;1742000.0;BTC-USD
510;5/25/2016;395.081;404.566;394.757;404.566;404.566;2765530.0;BTC-USD
511;5/26/2016;404.526;410.451;402.687;408.247;408.247;2530850.0;BTC-USD
512;5/27/2016;408.942;468.327;408.726;450.133;450.133;10821100.0;BTC-USD
513;5/28/2016;451.095;48.333;450.653;470.068;470.068;11564700.0;BTC-USD
514;5/29/2016;468.873;486.499;457.967;460.962;460.962;7351420.0;BTC-USD
515;5/30/2016;463.264;470.275;458.507;467.087;467.087;3805050.0;BTC-USD
516;5/31/2016;46.876;474.944;460.479;465.039;465.039;5187600.0;BTC-USD
517;6/1/2016;465.329;477.331;462.104;474.099;474.099;4577160.0;BTC-USD
518;6/2/2016;474.465;475.948;467.956;471.505;471.505;2121360.0;BTC-USD
519;6/3/2016;471.958;486.572;470.556;486.097;486.097;4061990.0;BTC-USD
520;6/4/2016;486.319;490.247;477.022;480.804;480.804;3214800.0;BTC-USD
521;6/5/2016;479.843;484.259;478.622;481.291;481.291;2257820.0;BTC-USD
522;6/6/2016;481.446;496.647;481.036;495.916;495.916;2993510.0;BTC-USD
523;6/7/2016;495.482;498.021;47.225;477.078;477.078;3881380.0;BTC-USD
524;6/8/2016;477.429;478.693;468.962;474.817;474.817;3507640.0;BTC-USD
525;6/9/2016;477.788;477.934;467.478;469.312;469.312;6438540.0;BTC-USD
526;6/10/2016;4.752;484.952;471.315;4.84;4.84;6975970.0;BTC-USD
527;6/11/2016;488.234;501.398;484.037;501.398;501.398;10294700.0;BTC-USD
528;6/12/2016;50.673;545.544;504.659;533.358;533.358;13753200.0;BTC-USD
529;6/13/2016;541.465;554.153;515.863;529.032;529.032;8668280.0;BTC-USD
530;6/14/2016;530.518;530.693;509.736;520.402;520.402;8488220.0;BTC-USD
531;6/15/2016;52.231;524.203;510.873;523.978;523.978;3917000.0;BTC-USD
532;6/16/2016;525.305;566.079;525.305;566.079;566.079;9930590.0;BTC-USD
533;6/17/2016;567.243;594.637;528.094;559.327;559.327;12383200.0;BTC-USD
534;6/18/2016;560.399;569.399;548.894;555.995;555.995;7878070.0;BTC-USD
535;6/19/2016;556.037;562.646;550.741;559.378;559.378;3760240.0;BTC-USD
536;6/20/2016;562.519;562.519;52.692;529.454;529.454;4154880.0;BTC-USD
537;6/21/2016;527.355;528.646;469.582;482.175;482.175;11984800.0;BTC-USD
538;6/22/2016;482.753;491.902;388.086;39.107;39.107;11522400.0;BTC-USD
539;6/23/2016;391.814;394.629;346.607;385.051;385.051;11138900.0;BTC-USD
540;6/24/2016;385.183;432.941;384.719;42.791;42.791;9364750.0;BTC-USD
541;6/25/2016;42.746;443.571;392.484;423.307;423.307;6057000.0;BTC-USD
542;6/26/2016;424.301;424.301;397.156;407.431;407.431;4480920.0;BTC-USD
543;6/27/2016;405.153;415.502;402.835;411.985;411.985;2749620.0;BTC-USD
544;6/28/2016;413.775;418.262;406.678;410.066;410.066;2867420.0;BTC-USD
545;6/29/2016;410.169;410.169;403.014;406.188;406.188;2211450.0;BTC-USD
546;6/30/2016;407.738;421.044;404.471;41.935;41.935;2864910.0;BTC-USD
547;7/1/2016;419.349;433.394;417.602;425.597;425.597;6987180.0;BTC-USD
548;7/2/2016;427.777;460.776;424.099;458.992;458.992;16646200.0;BTC-USD
549;7/3/2016;466.093;466.093;418.537;425.329;425.329;7659710.0;BTC-USD
550;7/4/2016;427.269;454.056;421.372;454.056;454.056;5062640.0;BTC-USD
551;7/5/2016;455.779;455.779;435.745;445.228;445.228;4707390.0;BTC-USD
552;7/6/2016;446.446;450.738;442.191;446.822;446.822;3238960.0;BTC-USD
553;7/7/2016;449.656;452.615;395.399;411.188;411.188;6277860.0;BTC-USD
554;7/8/2016;411.567;422.621;407.517;421.991;421.991;5033530.0;BTC-USD
555;7/9/2016;423.739;423.739;397.079;416.307;416.307;6256370.0;BTC-USD
556;7/10/2016;412.157;415.027;406.326;409.983;409.983;3039620.0;BTC-USD
557;7/11/2016;412.118;419.105;40.613;408.544;408.544;3282920.0;BTC-USD
558;7/12/2016;409.219;421.174;408.813;415.328;415.328;2734250.0;BTC-USD
559;7/13/2016;416.283;418.174;413.341;413.855;413.855;2215370.0;BTC-USD
560;7/14/2016;414.098;417.535;412.357;414.846;414.846;1663660.0;BTC-USD
561;7/15/2016;415.446;418.084;414.716;415.977;415.977;1668020.0;BTC-USD
562;7/16/2016;415.271;41.648;411.445;413.267;413.267;1378140.0;BTC-USD
563;7/17/2016;413.772;420.864;413.077;418.989;418.989;2155230.0;BTC-USD
564;7/18/2016;419.939;420.444;413.835;414.822;414.822;1577810.0;BTC-USD
565;7/19/2016;415.275;416.601;413.846;414.916;414.916;1563330.0;BTC-USD
566;7/20/2016;414.999;416.287;411.248;412.506;412.506;1908710.0;BTC-USD
567;7/21/2016;413.319;413.929;411.169;412.023;412.023;1422410.0;BTC-USD
568;7/22/2016;412.578;414.199;402.618;403.829;403.829;2677970.0;BTC-USD
569;7/23/2016;40.426;406.407;403.047;4.057;4.057;1568890.0;BTC-USD
570;7/24/2016;406.375;408.408;403.787;407.067;407.067;1839420.0;BTC-USD
571;7/25/2016;407.262;40.757;403.045;403.204;403.204;1535980.0;BTC-USD
572;7/26/2016;403.719;404.606;393.099;397.024;397.024;2545920.0;BTC-USD
573;7/27/2016;396.491;398.635;393.471;395.589;395.589;1847300.0;BTC-USD
574;7/28/2016;396.576;398.953;396.388;396.774;396.774;1728410.0;BTC-USD
575;7/29/2016;397.479;40.961;395.818;407.744;407.744;1744370.0;BTC-USD
576;7/30/2016;408.266;409.432;405.967;406.181;406.181;1388580.0;BTC-USD
577;7/31/2016;407.958;408.376;397.025;401.382;401.382;1921460.0;BTC-USD
578;8/1/2016;406.291;406.291;386.342;386.342;386.342;1991690.0;BTC-USD
579;8/2/2016;387.169;388.769;351.913;363.958;363.958;5039290.0;BTC-USD
